source	views	revenue	rpm
(direct) / (none)	200807.0	4767.0821630000155	23.739621442479674
m.search.naver.com / referral	79174.0	1321.2901360000014	16.688434789198492
naver / organic	14382.0	129.309415	8.991059310248923
brunch.co.kr / referral	11235.0	145.36501800000002	12.938586381842459
contents.premium.naver.com / referral	7266.0	132.04098899999997	18.172445499587113
naver / cpc	5378.0	159.89681499999998	29.731650241725543
paxnet.co.kr / referral	3895.0	69.34250200000002	17.80295301668807
playtherapy.or.kr / referral	1916.0	40.056293000000025	20.906207202505232
bing / organic	1596.0	11.726317999999992	7.3473170426065115
m.blog.naver.com / referral	988.0	16.133184999999997	16.329134615384614
council.chuncheon.go.kr / referral	777.0	19.502294	25.099477477477475
shield-ui.nsa-front-end.svc.pr1.io.navercorp.com / referral	598.0	0.005718	0.009561872909698997
kgeu.org / referral	491.0	52.65696	107.24431771894092
running-guarantee9.tistory.com / referral	371.0	7.875162000000001	21.226851752021567
m.search.daum.net / referral	368.0	17.371567	47.20534510869565
kunsan.ac.kr / referral	298.0	2.11519	7.097953020134228
m.ad.search.naver.com / referral	253.0	12.050099999999999	47.62885375494071
blog.naver.com / referral	249.0	1.164864	4.678168674698795
daum / organic	235.0	0.9436699999999999	4.015617021276595
(not set) / cpc	233.0	0.002578	0.011064377682403433
(not set)	225.0	27.170556999999995	120.7580311111111
google / organic	170.0	0.019444	0.11437647058823529
gpsports.or.kr / referral	142.0	2.6774579999999992	18.855338028169008
(data not available)	101.0	0.9793720000000002	9.696752475247527
ad.search.naver.com / referral	86.0	0.48355100000000006	5.622686046511629
m.cafe.naver.com / referral	85.0	1.662073	19.5538
chatgpt.com / ai-assistant	74.0	1.033677	13.968608108108109
vercel.com / referral	55.0	0.0	0.0
naver / referral	54.0	3.694053	68.40838888888888
naver.com / referral	53.0	0.20985	3.9594339622641512
new-biz.zucca100.com / referral	42.0	0.52303	12.453095238095239
m.keep.naver.com / referral	40.0	0.5261440000000001	13.1536
gwyged.gwe.go.kr / referral	39.0	0.099723	2.5570000000000004
chatgpt.com / (not set)	36.0	0.30756999999999995	8.54361111111111
kamhat.or.kr / referral	35.0	0.3703639999999999	10.581828571428568
chatgpt.com / referral	26.0	0.19133099999999995	7.358884615384613
localhost:3000 / referral	25.0	0.0	0.0
cn.bing.com / referral	23.0	0.008111	0.3526521739130435
taboola.lightning.force.com / referral	20.0	0.007084999999999999	0.35424999999999995
naver_blog / organic	19.0	0.000142	0.007473684210526316
ig / social	17.0	0.059314	3.4890588235294113
safe.menlosecurity.com / referral	17.0	0.051594	3.0349411764705883
tistory / blog	16.0	0.000166	0.010375
dable / referral	15.0	3.1112050000000004	207.4136666666667
yahoo / organic	15.0	0.490608	32.7072
google / cpc	14.0	0.000832	0.05942857142857143
search.zum.com / referral	14.0	0.037034	2.645285714285714
m.miz.co.kr / referral	12.0	0.065081	5.423416666666666
external / 	12.0	0.0	0.0
backstage.taboola.com / referral	11.0	0.0034460000000000003	0.3132727272727273
link.naver.com / referral	10.0	0.065579	6.5579
duckduckgo / organic	10.0	0.021005	2.1005
ezday.co.kr / referral	10.0	0.220682	22.0682
ntp.msn.com / referral	9.0	0.01659	1.8433333333333333
nsa-aet.sentinel.navercorp.com / referral	8.0	0.008996	1.1245
zucca.tistory.com / referral	8.0	0.087841	10.980125000000001
copilot.com / ai-assistant	7.0	0.259479	37.06842857142857
facebook.com / referral	7.0	0.00016	0.022857142857142857
github.com / referral	6.0	0.007915	1.3191666666666666
inesstory.com / referral	5.0	0.001987	0.39740000000000003
cafe.naver.com / referral	5.0	0.025999	5.1998
m.kin.naver.com / referral	5.0	0.034545	6.909
m.ezday.co.kr / referral	5.0	0.042565	8.513
yandex / organic	5.0	0.004468	0.8936
running-guarantee4.tistory.com / referral	4.0	0.020915	5.22875
l.instagram.com / referral	4.0	0.008473	2.1182499999999997
dachenai.feishu.cn / referral	4.0	0.0031079999999999997	0.7769999999999999
ycg.kr / referral	4.0	0.050395999999999996	12.598999999999998
l.threads.com / referral	4.0	0.008218	2.0545
m.baidu.com / referral	3.0	0.0	0.0
